mobygames_id	world_of_spectrum_id
hideous	0002312
high-frontier	0002313
high-noon__	0002315
high-noon__	0011399
high-steel	0002316
highlander	0002319
highway-encounter	0002323
hijack	0002326
hive_	0002333
hkm	0002375
hobbit	0006440
hocus-focus	0002336
hollywood-poker	0002341
hong-kong-phooey-no1-super-guy	0002344
hopper	0002347
hopper-copper	0002348
hoppin-mad	0002349
horace-goes-skiing	0002351
horace-the-spiders	0002350
hot-rod	0002361
hotshot	0002357
house-jack-built	0002362
how-to-be-a-complete-bastard	0002366
how-to-be-a-hero	0002368
howard-the-duck	0002370
http://www.mobygames.com/game/zx-spectrum/f40-pursuit-simulator/	0001123
hudson-hawk	0002373
hulk	0006854
humphrey	0002378
humpty-dumpty-in-the-garden	0002380
humpty-dumpty-meets-the-fuzzy-wuzzies	0002381
hunchback	0002383
hunchback-ii-quasimodos-revenge	0002384
hunchback-the-adventure	0006457
hunchy	0002386
hundra	0002388
hungry-horace	0002390
hunt-for-red-october	0002391
hunter-killer	0002397
huxley-pig	0002401
hydrofool	0002408
hypaball	0002412
hyperbowl	0002419
hysteria	0002424
i-ball	0002429
i-ball-ii	0002431
i-of-the-mask	0002433
ian-bothams-test-match	0002436
ian-flemings-james-bond-007-in-live-and-let-die-the-computer-gam	0000004
ice-attack	0002439
ice-station-zero	0006460
ice-temple	0002440
icicle-works	0002444
icups	0002446
ikari-warriors	0002450
ikari-warriors-ii-victory-road	0005561
im-in-shock	0002452
imagination	0006464
imperator	0002454
implosion	0002456
impossaball	0002458
impossamole	0002460
impossible-mission	0002462
impossible-mission-ii	0002464
incredible-shrinking-fireman	0002468
incredible-shrinking-sphere	0002469
indiana-jones-and-the-temple-of-doom	0002475
indoor-soccer	0002477
infiltrator	0002482
ingrids-back	0006478
inheritance-panic-in-las-vegas	0002485
insector-hecti-in-the-inter-change	0002487
inspector-gadget-and-the-circus-of-fear	0002489
intensity	0002491
international-3d-tennis	0002495
international-5-a-side	0002499
international-football	0002501
international-manager	0002513
international-rugby-simulator	0009359
international-speedway	0002518
into-the-eagles-nest	0002523
invaders_	0002530
invasion	0002534
invasion-force_	0002535
invasion-of-the-body-snatchas	0002538
invincible-island	0006490
island	0006491
island_	0006492
island-of-secrets	0019198
italian-supercar	0009360
its-a-knockout	0002558
its-only-rock-n-roll-the-tomb-of-dracula	0002559
its-the-wooluf	0002560
ivan-ironman-stewarts-super-off-road	0002546
iwo-jima	0002561
jabato	0006493
jack-and-the-beanstalk	0002562
jack-charltons-match-fishing	0002563
jack-the-nipper	0002564
jack-the-nipper-ii-in-coconut-capers	0002566
jack-the-ripper_	0006497
jackle-wide	0001477
jackpot	0002568
jackson-city	0002571
jahangir-khan-world-championship-squash	0002572
jai-alai	0002574
jail-break	0002576
james-bond-007-in-the-living-daylights-the-computer-game	0000006
james-herberts-the-rats	0004039
jasons-gem	0002579
jasper	0002580
jaws___	0002582
jawz	0002583
jeff-waynes-video-game-version-of-the-war-of-the-worlds	0005631
jeffrey-archer-not-a-penny-more-not-a-penny-less-the-computer-ga	0006748
jet-bike-simulator	0009321
jet-bike-simulator	0009361
jet-set-willy	0002589
jet-set-willy-ii-the-final-frontier	0002595
jet-story	0002612
jetpac	0009362
jetsons-the-computer-game	0002611
jewels-of-babylon	0006512
jimmy-connors-pro-tennis-tour	0003891
jimmys-soccer-manager	0002614
jocky-wilsons-compendium-of-darts	0002618
jocky-wilsons-darts-challenge	0002619
joe-blade	0002620
joe-blade-ii	0002623
jogger_	0002633
johnny-reb	0002635
johnny-reb-ii	0002636
jonah-barringtons-squash	0002641
jonny-quest	0002643
journey-to-the-centre-of-eddie-smiths-head	0006518
jrr-tolkiens-war-in-middle-earth_	0005629
judge-dredd__	0002648
jumping-jack	0002658
jungle-fever	0002660
jungle-trouble	0002661
jungle-warfare	0002662
jungle-warrior	0002664
kai-temple	0002668
kane	0002673
kat-trap-planet-of-the-cat-men	0002678
kayleth	0006524
keith-van-erons-pro-soccer	0003184
kemshu	0002680
kendo-warrior	0002681
kenny-dalglish-soccer-manager	0002682
kenny-dalglish-soccer-match	0002684
kentilla	0006527
kentucky-racing	0002685
ket-trilogy	0006302
ket-trilogy	0006711
ket-trilogy	0007080
kgb-superspy	0009364
kick-box-vigilante	0002690
kick-off	0002687
kick-off-2	0002688
kidnap	0002693
kikstart-2	0002694
kindercomp	0009119
kinetik	0002698
king-arthurs-quest	0006536
kings-keep	0002703
kirel	0002705
klax	0002707
knight-driver	0002715
knight-force	0002718
knight-lore	0009366
knight-orc	0006540
knight-tyme	0002722
knightmare_	0002724
knights-quest	0006543
knockout_	0002727
knot-in-3d	0002729
knuckle-busters	0002730
kobyashi-naru	0006545
kokotoni-wilf	0002732
komando-ii	0002734
konamis-golf	0002736
kong	0002741
kong_	0002739
